ts,netload,speed
0,714,39.83778033092081
1,1008,39.617976129662026
2,1091,39.496982862138
3,986,39.64528116876483
4,918,39.71750602276395
5,821,39.79089726385391
6,737,39.830254995312806
7,709,39.83925477608454
8,686,39.84534576583716
9,664,39.850187400684916
10,633,39.855574104983916
11,597,39.86005820170593
12,562,39.862972884147965
13,528,39.86478019137423
14,514,39.865300090548246
15,511,39.86539738112412
16,495,39.86584228225359
17,463,39.86642928439813
18,485,39.86606418188337
19,500,39.86571589036421
20,515,39.86526660753469
21,547,39.863876356029884
22,637,39.85496505150607
23,741,39.82881632073616
24,932,39.70410510917801
25,1322,39.00957737114659
26,2236,35.52361895268029
27,3371,30.295435445548232
28,4117,27.17646832215862
29,4708,24.974567450235654
30,5243,23.180761737240633
31,5695,21.801240870203767
32,5823,21.431605813032558
33,5759,21.615305194744142
34,5228,23.228608521741894
35,4684,25.059373307545407
36,4577,25.442143982137686
37,4655,25.162358328586674
38,4768,24.764221003712766
39,4722,24.9252738185657
40,4713,24.956947675522155
41,4666,25.123229062271626
42,4541,25.57265621408322
43,4423,26.006608901093912
44,4205,26.83341453043269
45,4055,27.42138401048218
46,3893,28.073848657058463
47,3737,28.719097846109264
48,3645,29.10727380272395
49,3715,28.811412583402397
50,3801,28.45238875973083
51,3811,28.410964694110564
52,4058,27.40947202495598
53,4267,26.594934559944658
54,4444,25.92868629179123
55,4579,25.434918938873142
56,4729,24.90067566157621
57,4823,24.573483555389227
58,4927,24.21819669822695
59,4972,24.06662552174128
60,5112,23.603278139060222
61,5320,22.93728979716499
62,5456,22.515890157307847
63,5486,22.42439400497708
64,5528,22.2971733102743
65,5600,22.08142931929901
66,5401,22.684995895958995
67,5104,23.629423880956185
68,5358,22.818444883099595
69,5855,21.34058502277507
70,6228,20.319000511809772
71,6343,20.018101948851516
72,6302,20.12464397949492
73,5843,21.374653458594352
74,5563,22.19192918809564
75,5339,22.87775979212285
76,4754,24.813089358971634
77,4105,27.22366374605404
78,3716,28.80720946742558
79,3392,30.202747479802238
80,3248,30.843355258371552
81,3208,31.023311101291846
82,3159,31.24486990003629
83,3053,31.728064311333
84,2956,32.174397935532205
85,2851,32.661233967034164
86,2708,33.32861999753619
87,2514,34.23671877204144
88,2362,34.94438454175084
89,2202,35.67818459072764
90,1965,36.724545872435435
91,1734,37.66523477682517
92,1521,38.42579057817239
93,1312,39.03512822412538
94,1108,39.468646799899076
95,659,39.851164250550625
