ts,netload,speed
0,714,39.83778033092081
1,1008,39.617976129662026
2,1091,39.496982862138
3,986,39.64528116876483
4,918,39.71750602276395
5,821,39.79089726385391
6,737,39.830254995312806
7,709,39.83925477608454
8,686,39.84534576583716
9,664,39.850187400684916
10,633,39.855574104983916
11,597,39.86005820170593
12,562,39.862972884147965
13,528,39.86478019137423
14,514,39.865300090548246
15,511,39.86539738112412
16,495,39.86584228225359
17,463,39.86642928439813
18,485,39.86606418188337
19,500,39.86571589036421
20,515,39.86526660753469
21,547,39.863876356029884
22,637,39.85496505150607
23,741,39.82881632073616
24,932,39.70410510917801
25,1322,39.00957737114659
26,2082,36.215749024112206
27,3104,31.49494562665788
28,3860,28.208966843395824
29,4398,26.099767186317106
30,5046,23.8201761111501
31,5615,22.03685272404076
32,5794,21.514569502302283
33,5687,21.824641619933548
34,5331,22.902798794283807
35,5006,23.95296133859807
36,4848,24.487438048183407
37,4802,24.646076813817686
38,4879,24.381305575059667
39,4823,24.573483555389227
40,4783,24.71200507567175
41,4728,24.90418769971689
42,4603,25.348428424223197
43,4448,25.9138780413271
44,4243,26.68693421481186
45,4077,27.334173997198324
46,3918,27.97198210617227
47,3753,28.65216279892141
48,3652,29.077542647013704
49,3724,28.77360848843969
50,3804,28.439954440679415
51,3818,28.38200810712328
52,4061,27.39756626301411
53,4271,26.57963995996813
54,4449,25.910177685028156
55,4583,25.42047693552765
56,4734,24.88312538690479
57,4828,24.556241884112758
58,4932,24.20129143910158
59,4976,24.053215114301086
60,5117,23.58695726632525
61,5325,22.921603107047808
62,5465,22.48838645593515
63,5496,22.3940111387724
64,5533,22.282095544541654
65,5605,22.066556351766454
66,5511,22.348545041537918
67,5401,22.684995895958995
68,5672,21.868613729617287
69,6114,20.623697553720618
70,6514,19.58233294213907
71,6592,19.388060592566305
72,6407,19.853397769304657
73,5906,21.196650555349947
74,5464,22.491440097339215
75,5040,23.840029544601364
76,4493,25.748036737489745
77,3982,27.713158656419843
78,3625,29.19239614881651
79,3333,30.46380584846992
80,3208,31.023311101291846
81,3179,31.15429311745059
82,3145,31.308389665227956
83,3040,31.787665741062206
84,2937,32.26223306577736
85,2831,32.75432193851812
86,2694,33.39413004515342
87,2507,34.26943657161482
88,2361,34.949014274346574
89,2198,35.69631070081897
90,1958,36.754403761994936
91,1731,37.67675192412939
92,1515,38.44534780506244
93,1308,39.04524052163274
94,1104,39.47542339243214
95,655,39.851914564579076
