ts,netload,speed
0,714,39.83778033092081
1,1008,39.617976129662026
2,1091,39.496982862138
3,986,39.64528116876483
4,918,39.71750602276395
5,821,39.79089726385391
6,737,39.830254995312806
7,709,39.83925477608454
8,686,39.84534576583716
9,664,39.850187400684916
10,633,39.855574104983916
11,597,39.86005820170593
12,562,39.862972884147965
13,528,39.86478019137423
14,514,39.865300090548246
15,511,39.86539738112412
16,495,39.86584228225359
17,463,39.86642928439813
18,485,39.86606418188337
19,500,39.86571589036421
20,515,39.86526660753469
21,547,39.863876356029884
22,637,39.85496505150607
23,741,39.82881632073616
24,932,39.70410510917801
25,1322,39.00957737114659
26,2494,34.33017521557072
27,3975,27.741330224870623
28,4799,24.656470816962653
29,5292,23.025411979362797
30,5645,21.948079227009018
31,5830,21.41164804083013
32,5850,21.354770837051227
33,5814,21.457304575309205
34,4980,24.039814895133997
35,4141,27.08237654187737
36,4099,27.24729883713945
37,4341,26.313770622501963
38,4540,25.57629405225843
39,4552,25.532684622793795
40,4589,25.398834129385406
41,4567,25.478309638400876
42,4468,25.840000505415738
43,4348,26.287369287160885
44,4142,27.07846470506948
45,3987,27.693056779472375
46,3835,28.3118232339469
47,3693,28.90404905618645
48,3610,29.256408513597545
49,3678,28.967393932171053
50,3776,28.556244283466146
51,3791,28.493880391570208
52,4042,27.473074516941402
53,4248,26.66773480512338
54,4434,25.96575471513518
55,4566,25.481929912799384
56,4706,24.98162000093289
57,4807,24.628766561977713
58,4916,24.25544477470857
59,4963,24.096836224516032
60,5101,23.639238807478847
61,5308,22.974998883373473
62,5445,22.54956982387607
63,5474,22.46092981217547
64,5513,22.342492687368363
65,5592,22.105255447951606
66,5096,23.65560948274399
67,4520,25.649192974053253
68,4824,24.570033916775863
69,5238,23.196695470860476
70,5644,21.95103021254126
71,6008,20.912890792535585
72,6121,20.60480089706164
73,5840,21.383182620092107
74,5886,21.25293071467809
75,5886,21.25293071467809
76,5205,23.3022397455258
77,4401,26.0885655960459
78,3888,28.094273299596058
79,3507,29.699851788202974
80,3324,30.503803787375723
81,3270,30.744739899110726
82,3189,31.109079032575334
83,3088,31.567957511518458
84,2974,32.09130261321735
85,2860,32.61937787522679
86,2722,33.263131029137824
87,2527,34.17593646407812
88,2374,34.8887944375929
89,2212,35.632814464022196
90,1969,36.70745209599461
91,1740,37.64213918894625
92,1528,38.402832085609575
93,1321,39.012149762481165
94,1109,39.466942141874455
95,669,39.84916615387026
