ts,netload,speed
0,714,39.83778033092081
1,1008,39.617976129662026
2,1091,39.496982862138
3,986,39.64528116876483
4,918,39.71750602276395
5,821,39.79089726385391
6,737,39.830254995312806
7,709,39.83925477608454
8,686,39.84534576583716
9,664,39.850187400684916
10,633,39.855574104983916
11,597,39.86005820170593
12,562,39.862972884147965
13,528,39.86478019137423
14,514,39.865300090548246
15,511,39.86539738112412
16,495,39.86584228225359
17,463,39.86642928439813
18,485,39.86606418188337
19,500,39.86571589036421
20,515,39.86526660753469
21,547,39.863876356029884
22,637,39.85496505150607
23,741,39.82881632073616
24,932,39.70410510917801
25,1322,39.00957737114659
26,2004,36.55691810663079
27,2935,32.27148602288541
28,3730,28.7484357245753
29,4329,26.35910847900449
30,4977,24.049864104624305
31,5554,22.218925149728236
32,5749,21.64420944153566
33,5709,21.760374772147546
34,5444,22.552635109356853
35,5165,23.431065206548606
36,4942,24.167529012241364
37,4873,24.40179873945257
38,4936,24.187778777482038
39,4873,24.40179873945257
40,4832,24.542460281633296
41,4763,24.781659178174007
42,4635,25.233709485361317
43,4484,25.78109470419862
44,4266,26.59875993601988
45,4096,27.25912572665961
46,3937,27.894850079082108
47,3771,28.57706590833812
48,3669,29.005472067386712
49,3737,28.719097846109264
50,3817,28.386142730882277
51,3825,28.353084714966027
52,4072,27.353965057458087
53,4276,26.56053724257586
54,4455,25.88798987577294
55,4586,25.40965250342253
56,4735,24.879617314544987
57,4830,24.549349779490626
58,4941,24.170902371631133
59,4981,24.03646643146275
60,5121,23.573911753252904
61,5331,22.902798794283807
62,5467,22.482280915883027
63,5496,22.3940111387724
64,5534,22.27908171049354
65,5607,22.060611115663093
66,5579,22.144050172070298
67,5561,22.197924302514103
68,5852,21.349094906577292
69,6243,20.279387915944625
70,6597,19.375701493084108
71,6668,19.201413200919106
72,6517,19.574809506450233
73,6001,20.93219129609897
74,5435,22.58024894810084
75,4906,24.289374178853077
76,4395,26.110974943522155
77,3925,27.943536222601537
78,3591,29.33769963247749
79,3308,30.575023785900743
80,3193,31.091007436353056
81,3166,31.21314567271277
82,3133,31.362909898584107
83,3033,31.819787844621988
84,2937,32.26223306577736
85,2832,32.74966518665518
86,2691,33.40817033819516
87,2502,34.29280125454523
88,2357,34.96752882147558
89,2198,35.69631070081897
90,1953,36.77568650523638
91,1728,37.68824850230282
92,1512,38.45508408299248
93,1307,39.04775891237983
94,1099,39.48379955012101
95,650,39.85281449753887
