ts,netload,speed
0,714,39.83778033092081
1,1008,39.617976129662026
2,1091,39.496982862138
3,986,39.64528116876483
4,918,39.71750602276395
5,821,39.79089726385391
6,737,39.830254995312806
7,709,39.83925477608454
8,686,39.84534576583716
9,664,39.850187400684916
10,633,39.855574104983916
11,597,39.86005820170593
12,562,39.862972884147965
13,528,39.86478019137423
14,514,39.865300090548246
15,511,39.86539738112412
16,495,39.86584228225359
17,463,39.86642928439813
18,485,39.86606418188337
19,500,39.86571589036421
20,515,39.86526660753469
21,547,39.863876356029884
22,637,39.85496505150607
23,741,39.82881632073616
24,932,39.70410510917801
25,1322,39.00957737114659
26,2388,34.82386479922602
27,3686,28.93359151081177
28,4396,26.10723833915385
29,4916,24.25544477470857
30,5433,22.586391783336495
31,5812,21.463021342285483
32,5857,21.334914440136437
33,5761,21.60953090080141
34,5091,23.671995750562576
35,4426,25.99545864681752
36,4332,26.34776472480685
37,4483,25.784771212092405
38,4649,25.18373560580544
39,4639,25.219417858702403
40,4641,25.212276059291426
41,4615,25.305328344074063
42,4508,25.69306244660933
43,4383,26.15586766897074
44,4159,27.01206940410949
45,4008,27.608817135024026
46,3858,28.21717970151699
47,3714,28.815616364140862
48,3621,29.20945184807421
49,3692,28.90826742381144
50,3791,28.493880391570208
51,3799,28.46068168427249
52,4049,27.44522664996884
53,4258,26.629387804526818
54,4439,25.9472119660899
55,4572,25.460218383101246
56,4721,24.92879048754539
57,4818,24.590741536005446
58,4925,24.224963294529648
59,4968,24.08004612424672
60,5105,23.626153484552635
61,5315,22.9529914387768
62,5454,22.52200849018799
63,5484,22.430477515988436
64,5520,22.321327562037258
65,5596,22.0933378606727
66,5222,23.24778556452589
67,4766,24.77119430000302
68,5090,23.675274876455987
69,5569,22.173957504258635
70,5946,21.08472362284285
71,6192,20.414522642701474
72,6209,20.369335261916834
73,5852,21.349094906577292
74,5706,21.76912267552616
75,5579,22.144050172070298
76,4952,24.133830620320357
77,4253,26.648552669395748
78,3808,28.42338481294427
79,3456,29.921883717706557
80,3300,30.610687386688763
81,3242,30.87029518433791
82,3182,31.140723647900163
83,3075,31.62736361394683
84,2964,32.137452353773035
85,2855,32.642628616843375
86,2713,33.30522849062016
87,2513,34.241393243041074
88,2363,34.9397543748101
89,2204,35.66911679504364
90,1961,36.7416163363023
91,1734,37.66523477682517
92,1522,38.42252011053915
93,1314,39.030048875706655
94,1107,39.47034725392801
95,659,39.851164250550625
