ts,netload,speed
0,89,39.866972492343145
1,131,39.866972492343145
2,135,39.866972492343145
3,115,39.866972492343145
4,113,39.866972492343145
5,126,39.866972492343145
6,126,39.866972492343145
7,111,39.866972492343145
8,109,39.866972492343145
9,90,39.866972492343145
10,91,39.866972492343145
11,96,39.866972492343145
12,94,39.866972492343145
13,93,39.866972492343145
14,88,39.866972492343145
15,85,39.866972492343145
16,83,39.866972492343145
17,70,39.866972492343145
18,84,39.866972492343145
19,94,39.866972492343145
20,104,39.866972492343145
21,120,39.866972492343145
22,160,39.86697249234288
23,204,39.86697249203703
24,226,39.86697248859904
25,284,39.866972063114446
26,400,39.866881345129705
27,548,39.863821679415
28,582,39.86145979120821
29,538,39.86433539986191
30,531,39.86465357640275
31,516,39.86523258784927
32,479,39.86617930288082
33,463,39.86642928439813
34,495,39.86584228225359
35,471,39.866313974124246
36,500,39.86571589036421
37,480,39.86616099204806
38,498,39.86576775256015
39,493,39.865889856803264
40,497,39.86579302542776
41,452,39.86656022234146
42,456,39.86651602643869
43,467,39.866373908498595
44,522,39.86501684897629
45,512,39.86536547122472
46,502,39.865662235688006
47,522,39.86501684897629
48,525,39.86490122259631
49,518,39.86516291356834
50,503,39.86563472207131
51,534,39.86452119581987
52,512,39.86536547122472
53,510,39.865428778824345
54,529,39.86473861572074
55,504,39.865606743337224
56,498,39.86576775256015
57,517,39.8651980252779
58,511,39.86539738112412
59,510,39.865428778824345
60,487,39.86602291322322
61,501,39.86568928989593
62,486,39.86604373429825
63,497,39.86579302542776
64,521,39.86505422051903
65,497,39.86579302542776
66,490,39.86595815816762
67,478,39.86619727457559
68,469,39.866344528328526
69,441,39.86666387401176
70,448,39.86660081561825
71,421,39.86679713242012
72,428,39.86675748063651
73,472,39.86629824577815
74,457,39.866504386539255
75,435,39.866710586873374
76,452,39.86656022234146
77,451,39.86657069921606
78,470,39.86632940016682
79,471,39.866313974124246
80,443,39.86664684187146
81,440,39.86667210807188
82,401,39.866878313997766
83,380,39.86692679541679
84,364,39.866947587892724
85,374,39.86693587588122
86,339,39.86696389091414
87,314,39.866969984247255
88,292,39.86697178025573
89,283,39.86697209024299
90,258,39.86697242565698
91,248,39.86697246297563
92,223,39.866972489603505
93,200,39.86697249216014
94,166,39.86697249234229
95,110,39.866972492343145
