ts,netload,speed
0,714,39.83778033092081
1,1008,39.617976129662026
2,1091,39.496982862138
3,986,39.64528116876483
4,918,39.71750602276395
5,821,39.79089726385391
6,737,39.830254995312806
7,709,39.83925477608454
8,686,39.84534576583716
9,664,39.850187400684916
10,633,39.855574104983916
11,597,39.86005820170593
12,562,39.862972884147965
13,528,39.86478019137423
14,514,39.865300090548246
15,511,39.86539738112412
16,495,39.86584228225359
17,463,39.86642928439813
18,485,39.86606418188337
19,500,39.86571589036421
20,515,39.86526660753469
21,547,39.863876356029884
22,637,39.85496505150607
23,741,39.82881632073616
24,932,39.70410510917801
25,1322,39.00957737114659
26,1928,36.881531218686845
27,3096,31.531437178683536
28,3927,27.935415001381337
29,4490,25.759049940205024
30,5095,23.658885488458427
31,5665,21.889176859167247
32,5834,21.40025542845278
33,5731,21.696375048731245
34,5517,22.330394881128324
35,5025,23.889762384847753
36,4772,24.750282301755373
37,4780,24.7224364393907
38,4877,24.388134041490435
39,4801,24.649540827004344
40,4783,24.71200507567175
41,4726,24.911213759925314
42,4603,25.348428424223197
43,4447,25.917579080094384
44,4242,26.690776169888945
45,4078,27.33021786065118
46,3916,27.98011567348752
47,3752,28.65634122005453
48,3652,29.077542647013704
49,3726,28.76521490141383
50,3807,28.427526205522458
51,3819,28.377874160811402
52,4060,27.401534158784184
53,4272,26.575818035912633
54,4449,25.910177685028156
55,4584,25.416868118247137
56,4734,24.88312538690479
57,4826,24.563136596281076
58,4934,24.194533825923617
59,4977,24.049864104624305
60,5115,23.593483750561536
61,5323,22.92787598985126
62,5463,22.494494319820195
63,5493,22.403119931828236
64,5531,22.28812493137918
65,5602,22.075478438443103
66,5395,22.70355114345338
67,5399,22.691178623052256
68,5662,21.897997983801268
69,6076,20.72671171919404
70,6507,19.59990372950475
71,6624,19.30915691276183
72,6478,19.672937902232313
73,6004,20.923916549048243
74,5621,22.01905758405905
75,5062,23.767344300157877
76,4460,25.869518791761685
77,3961,27.797774597032895
78,3618,29.22225043611836
79,3329,30.481577054996148
80,3205,31.036841205748598
81,3177,31.163341917167244
82,3142,31.322013300496952
83,3041,31.78307851685056
84,2941,32.24373119079857
85,2833,32.74500867668562
86,2697,33.380090568179774
87,2506,34.274109861760365
88,2362,34.94438454175084
89,2199,35.6917803645872
90,1957,36.75866328252728
91,1729,37.68441860143735
92,1516,38.4420960940065
93,1308,39.04524052163274
94,1103,39.47710703097317
95,649,39.85298951767559
