ts,netload,speed
0,714,39.83778033092081
1,1008,39.617976129662026
2,1091,39.496982862138
3,986,39.64528116876483
4,918,39.71750602276395
5,821,39.79089726385391
6,737,39.830254995312806
7,709,39.83925477608454
8,686,39.84534576583716
9,664,39.850187400684916
10,633,39.855574104983916
11,597,39.86005820170593
12,562,39.862972884147965
13,528,39.86478019137423
14,514,39.865300090548246
15,511,39.86539738112412
16,495,39.86584228225359
17,463,39.86642928439813
18,485,39.86606418188337
19,500,39.86571589036421
20,515,39.86526660753469
21,547,39.863876356029884
22,637,39.85496505150607
23,741,39.82881632073616
24,932,39.70410510917801
25,1322,39.00957737114659
26,1928,36.881531218686845
27,3255,30.811949522910027
28,4076,27.338130825601755
29,4613,25.31250497843379
30,5233,23.212644394222764
31,5715,21.742893863740235
32,5881,21.267033902425514
33,5764,21.600873552570825
34,5519,22.324349427154246
35,4872,24.405216532259686
36,4639,25.219417858702403
37,4696,25.016922562745616
38,4799,24.656470816962653
39,4752,24.820081089251236
40,4743,24.851576511341857
41,4687,25.04875164759834
42,4569,25.471071113164914
43,4439,25.9472119660899
44,4219,26.77933192489405
45,4067,27.373773412067813
46,3903,28.03305067800495
47,3742,28.698162251796234
48,3653,29.073297956005423
49,3721,28.786203864056194
50,3800,28.4565348842231
51,3814,28.39855066582443
52,4058,27.40947202495598
53,4269,26.587285879148205
54,4447,25.917579080094384
55,4580,25.431307427751978
56,4732,24.8901435139278
57,4826,24.563136596281076
58,4929,24.21143266956932
59,4975,24.056566760745003
60,5116,23.59022019770839
61,5322,22.931013327757675
62,5460,22.503660474911257
63,5489,22.41527307664621
64,5531,22.28812493137918
65,5601,22.07845359648445
66,5231,23.219028219924876
67,5178,23.38908918602969
68,5566,22.18294078592971
69,6009,20.91013564541011
70,6383,19.914933934534716
71,6531,19.53975479169601
72,6432,19.789586414771506
73,5972,21.01242110507019
74,5729,21.702182200509206
75,5226,23.234998433139534
76,4511,25.68208592053407
77,4018,27.568809964795403
78,3659,29.04784356629296
79,3357,30.35737004597677
80,3220,30.969236901592566
81,3175,31.17239270129639
82,3150,31.285693186247958
83,3050,31.74181220987163
84,2944,32.229858344607045
85,2840,32.71241996178056
86,2698,33.37541092955756
87,2509,34.26008947233502
88,2360,34.95364357060914
89,2200,35.6872492325243
90,1955,36.76717787221989
91,1728,37.68824850230282
92,1518,38.43558326794067
93,1309,39.04271825451321
94,1107,39.47034725392801
95,652,39.85245951922494
