ts,netload,speed
0,714,39.83778033092081
1,1008,39.617976129662026
2,1091,39.496982862138
3,986,39.64528116876483
4,918,39.71750602276395
5,821,39.79089726385391
6,737,39.830254995312806
7,709,39.83925477608454
8,686,39.84534576583716
9,664,39.850187400684916
10,633,39.855574104983916
11,597,39.86005820170593
12,562,39.862972884147965
13,528,39.86478019137423
14,514,39.865300090548246
15,511,39.86539738112412
16,495,39.86584228225359
17,463,39.86642928439813
18,485,39.86606418188337
19,500,39.86571589036421
20,515,39.86526660753469
21,547,39.863876356029884
22,637,39.85496505150607
23,741,39.82881632073616
24,932,39.70410510917801
25,1322,39.00957737114659
26,1928,36.881531218686845
27,2848,32.67519071490196
28,3691,28.912486452711434
29,4283,26.533822425762498
30,4964,24.09347692859696
31,5578,22.147038350045857
32,5768,21.589338056288486
33,5718,21.734160852288703
34,5503,22.37277748741808
35,5240,23.190320155451126
36,5005,23.956293928440747
37,4907,24.28597834178818
38,4967,24.083402868646786
39,4895,24.32677091813323
40,4848,24.487438048183407
41,4783,24.71200507567175
42,4649,25.18373560580544
43,4496,25.737029651972424
44,4279,26.549083894775055
45,4100,27.243357924893587
46,3942,27.874593370368203
47,3777,28.55208197649974
48,3668,29.009706261187436
49,3739,28.710721603844014
50,3824,28.357214594485033
51,3830,28.33244549153381
52,4075,27.342088345845664
53,4278,26.552900987225435
54,4456,25.88429429510095
55,4591,25.391625244603617
56,4737,24.87260315167617
57,4832,24.542460281633296
58,4941,24.170902371631133
59,4982,24.033118604026903
60,5123,23.56739272262399
61,5333,22.896535465455006
62,5471,22.47007680347945
63,5498,22.38794149664627
64,5535,22.276068449200455
65,5607,22.060611115663093
66,5587,22.120165164473836
67,5634,21.980570868214873
68,5920,21.157380307460233
69,6316,20.08817283915838
70,6692,19.143006524751748
71,6779,18.93340220965588
72,6532,19.53725432311883
73,5992,20.95704349474458
74,5434,22.583320073401893
75,4862,24.439430090909624
76,4331,26.35154528791795
77,3896,28.061602078478195
78,3579,29.389161041031258
79,3302,30.60176815431866
80,3181,31.145246306377548
81,3157,31.253938350768827
82,3123,31.408395363162686
83,3030,31.833560601532636
84,2934,32.27611300347514
85,2828,32.76829363567281
86,2690,33.41285061151919
87,2501,34.297473652661004
88,2356,34.97215635246965
89,2199,35.6917803645872
90,1953,36.77568650523638
91,1727,37.692076106184594
92,1512,38.45508408299248
93,1307,39.04775891237983
94,1098,39.485462171974
95,649,39.85298951767559
