ts,netload,speed
0,714,39.83778033092081
1,1008,39.617976129662026
2,1091,39.496982862138
3,986,39.64528116876483
4,918,39.71750602276395
5,821,39.79089726385391
6,737,39.830254995312806
7,709,39.83925477608454
8,686,39.84534576583716
9,664,39.850187400684916
10,633,39.855574104983916
11,597,39.86005820170593
12,562,39.862972884147965
13,528,39.86478019137423
14,514,39.865300090548246
15,511,39.86539738112412
16,495,39.86584228225359
17,463,39.86642928439813
18,485,39.86606418188337
19,500,39.86571589036421
20,515,39.86526660753469
21,547,39.863876356029884
22,637,39.85496505150607
23,741,39.82881632073616
24,932,39.70410510917801
25,1322,39.00957737114659
26,1928,36.881531218686845
27,3373,30.286596923705723
28,4223,26.763904650765248
29,4826,24.563136596281076
30,5393,22.709740938650036
31,5798,21.503099209051246
32,5935,21.11541964731466
33,5752,21.63553242776999
34,5487,22.42135311722746
35,4744,24.848074381537426
36,4483,25.784771212092405
37,4615,25.305328344074063
38,4759,24.795621562610638
39,4716,24.946383762831637
40,4712,24.960470304872253
41,4668,25.116123320446153
42,4527,25.623647535639787
43,4422,26.010327020223002
44,4199,26.856634296097507
45,4057,27.413441995316568
46,3887,28.09836027917661
47,3735,28.727476759830772
48,3642,29.120025530306467
49,3712,28.82402591931679
50,3793,28.485576665141537
51,3810,28.41510405713333
52,4055,27.42138401048218
53,4265,26.602586002583834
54,4446,25.921280801388587
55,4580,25.431307427751978
56,4728,24.90418769971689
57,4824,24.570033916775863
58,4928,24.214814362994357
59,4972,24.06662552174128
60,5108,23.616346031092178
61,5318,22.94356865881156
62,5455,22.518949032675586
63,5486,22.42439400497708
64,5525,22.306226850392836
65,5599,22.084405607005927
66,5117,23.58695726632525
67,5047,23.816869408477668
68,5397,22.697363705235553
69,5827,21.4201981440609
70,6261,20.231998233875927
71,6486,19.65275169255122
72,6409,19.84828203736804
73,5957,21.054090992074673
74,5862,21.320747332963375
75,5373,22.77176873206567
76,4595,25.377215547265145
77,4069,27.36584799503974
78,3695,28.89561430538851
79,3378,30.264510810946472
80,3245,30.856822837028446
81,3194,31.08649079714134
82,3153,31.27208107140859
83,3055,31.718901154958967
84,2952,32.192879184621845
85,2843,32.69845709527518
86,2704,33.347335146573336
87,2511,34.250741691844894
88,2364,34.93512377550977
89,2203,35.67365108589755
90,1959,36.75014276196828
91,1730,37.6805864074322
92,1522,38.42252011053915
93,1311,39.037662102829884
94,1108,39.468646799899076
95,651,39.85263783454369
